Country/Region,Confirmed,Deaths,Recovered,Mortality_Rate,Recovery_Rate
Afghanistan,209451,7896,82586,3.89,29.48
Albania,334457,3598,130314,1.85,30.3
Algeria,271496,6881,118409,3.4,29.29
Andorra,47890,165,14380,1.46,38.04
Angola,105288,1933,39582,2.83,26.82
Antarctica,11,0,0,0.0,0.0
Antigua and Barbuda,9106,146,1239,3.0,35.01
Argentina,10044957,130472,4615834,2.07,32.18
Armenia,447308,8727,220438,1.87,34.4
Australia,3915992,7370,20061,1.08,37.51
Austria,5961143,21970,644388,1.61,39.05
Azerbaijan,828825,10138,333694,1.31,36.6
Bahamas,37491,833,12702,3.21,30.51
Bahrain,710693,1553,267220,0.34,39.24
Bangladesh,2037871,29445,1141157,1.71,31.55
Barbados,106798,579,4251,1.82,37.42
Belarus,994037,7118,443417,0.74,37.09
Belgium,4739365,33814,31130,3.62,5.58
Belize,70757,688,13543,2.46,32.56
Benin,27999,163,8136,1.02,35.11
Bhutan,62627,21,2418,0.05,34.65
Bolivia,1194277,22365,411830,3.51,27.25
Bosnia and Herzegovina,401729,16280,189710,4.0,30.77
Botswana,329758,2876,96964,1.3,26.85
Brazil,37081209,699276,17771228,2.72,34.37
Brunei,279661,225,280,0.86,42.31
Bulgaria,1297523,38228,398721,3.64,28.28
Burkina Faso,22056,396,13385,2.27,38.06
Burma,633950,19490,225849,2.89,31.99
Burundi,53631,38,773,0.55,23.64
Cabo Verde,63244,413,33173,1.16,34.79
Cambodia,138719,3056,72803,1.27,38.42
Cameroon,124392,1965,35261,1.77,31.8
Central African Republic,15368,113,6859,0.92,25.69
Chad,7679,194,4796,3.93,36.57
Chile,5192286,64273,1575377,1.85,37.9
China,2876106,82195,64435,inf,43.54
Colombia,6359093,142339,4615354,2.57,33.39
Comoros,9008,161,3873,2.5,37.09
Congo (Brazzaville),25375,388,12421,1.77,28.6
Congo (Kinshasa),95749,1464,30043,2.26,30.49
Costa Rica,1209725,9245,334759,1.03,27.93
Cote d'Ivoire,88263,834,49642,0.83,37.24
Croatia,1269326,17987,354830,1.87,37.67
Cuba,1112643,8530,373354,1.31,37.81
Cyprus,650685,1330,39061,0.61,19.91
Czechia,4618256,42491,1641321,1.48,33.1
Denmark,3404407,8296,306324,0.46,41.12
Diamond Princess,712,13,699,1.77,42.41
Djibouti,15690,189,11491,1.13,39.78
Dominica,15760,74,209,0.26,39.9
Dominican Republic,660790,4384,324861,1.32,30.66
Ecuador,1057121,36014,443880,5.25,32.06
Egypt,515759,24812,232179,5.18,29.84
El Salvador,201785,4230,76670,2.68,33.65
Equatorial Guinea,17229,183,8709,1.25,33.05
Eritrea,10189,103,6475,0.57,35.07
Estonia,615433,2946,129183,1.08,33.86
Eswatini,74267,1425,22127,2.23,33.77
Ethiopia,500116,7572,264008,1.57,27.91
Fiji,68898,883,10848,1.88,32.72
Finland,1463644,8967,46000,1.38,29.7
France,38618509,161512,342647,1.04,24.59
Gabon,48981,306,25228,0.88,34.46
Gambia,12598,372,7310,3.73,33.57
Georgia,1827537,16971,390827,1.13,35.4
Germany,38249060,168935,3659260,1.79,38.06
Ghana,171229,1462,98633,0.83,37.23
Greece,5548487,34779,93764,2.19,18.83
Grenada,19680,238,161,1.01,39.98
Guatemala,1238247,20182,331374,2.76,32.66
Guinea,38267,467,24463,0.91,36.81
Guinea-Bissau,8960,176,4027,1.79,29.69
Guyana,73075,1298,22327,3.42,31.38
Haiti,34202,860,12961,2.66,28.71
Holy See,29,0,27,0.0,30.9
Honduras,472250,11111,102384,2.83,13.36
Hungary,2196804,48762,749773,4.18,25.29
Iceland,209137,263,6993,0.28,41.36
India,44690738,530779,30974748,1.46,35.49
Indonesia,6738225,160941,2907920,3.35,31.05
Iran,7572311,144933,3444798,3.41,36.7
Iraq,2465545,25375,1494760,1.9,35.64
Ireland,1704502,8708,23364,2.01,17.3
Israel,4803824,12329,854888,0.59,36.71
Italy,25603510,188322,4144608,4.2,31.41
Jamaica,154416,3514,47101,2.14,25.06
Japan,33320438,72997,852451,1.38,35.6
Jordan,1746997,14122,752624,1.03,34.62
Kazakhstan,1498668,19071,555079,1.34,34.27
Kenya,342937,5688,191188,1.93,27.77
Kiribati,5014,18,0,0.23,0.0
"Korea, North",1,6,0,600.0,0.0
"Korea, South",30615522,34093,180719,0.97,38.18
Kosovo,273312,3211,105688,1.95,33.78
Kuwait,663860,2570,388880,0.51,37.11
Kyrgyzstan,206708,2991,150852,1.59,36.68
Laos,218023,758,3804,0.18,35.97
Latvia,976255,6269,135690,1.34,31.68
Lebanon,1232828,10841,537653,1.23,27.57
Lesotho,34790,723,6664,2.24,18.95
Liberia,8090,295,2715,4.66,32.57
Libya,507187,6437,195639,1.62,27.3
Liechtenstein,21432,89,3011,1.05,40.47
Lithuania,1307448,9596,269840,1.41,inf
Luxembourg,317367,1220,72306,0.99,37.85
MS Zaandam,9,2,7,22.14,17.69
Madagascar,67889,1423,41177,1.75,36.32
Malawi,88707,2896,39841,3.3,29.23
Malaysia,5044718,36967,962731,0.85,37.92
Maldives,185738,311,75095,0.25,34.57
Mali,33062,743,13962,3.44,30.45
Malta,117610,828,32438,1.0,36.85
Marshall Islands,15649,17,4,0.03,29.32
Mauritania,63668,997,22859,2.59,35.83
Mauritius,296042,1044,1854,1.23,38.32
Mexico,7483444,333188,2270427,7.37,33.63
Micronesia,23948,61,1,0.08,24.16
Moldova,611140,12003,252421,2.32,34.16
Monaco,16121,67,2759,1.09,37.46
Mongolia,1007900,2136,164829,0.18,31.16
Montenegro,288808,2808,99152,1.4,34.7
Morocco,1272490,16296,582692,1.8,36.42
Namibia,171156,4090,96568,1.76,32.03
Nauru,5247,1,0,0.01,0.0
Nepal,1001154,12020,661651,0.95,34.61
Netherlands,8599981,22990,13157,1.8,29.16
New Zealand,2228291,2548,2824,0.35,21.57
Nicaragua,15655,245,4225,3.5,34.94
Niger,9508,315,5351,3.98,37.64
Nigeria,266598,3155,165208,1.45,32.88
North Macedonia,346852,9662,150440,3.28,32.42
Norway,1479506,5213,17998,0.83,19.14
Oman,399449,4628,281724,1.03,35.41
Pakistan,1577411,30644,952616,2.02,34.99
Palau,5991,9,0,0.09,0.0
Panama,1031731,8609,420113,1.51,33.99
Papua New Guinea,46825,670,17384,1.15,32.29
Paraguay,808401,19878,423964,2.58,29.97
Peru,4487553,219539,2086086,8.64,35.78
Philippines,4077452,66188,1528422,3.15,31.29
Poland,6444960,119010,2653981,2.42,30.88
Portugal,5570473,26266,912620,1.57,31.53
Qatar,495090,688,224285,0.18,37.7
Romania,3346046,67736,1048072,2.93,33.41
Russia,22075858,388478,5609682,1.92,34.03
Rwanda,133194,1468,44911,0.98,32.78
Saint Kitts and Nevis,6597,47,549,0.41,38.47
Saint Lucia,30004,409,5398,1.16,37.39
Saint Vincent and the Grenadines,9589,123,2233,0.72,35.63
Samoa,16607,29,3,0.07,24.98
San Marino,23616,122,5009,2.74,35.99
Sao Tome and Principe,6281,77,2365,1.46,34.83
Saudi Arabia,830127,9618,507374,1.31,37.82
Senegal,88926,1988,48812,2.15,35.69
Serbia,2500142,17881,15564,1.11,5.01
Seychelles,50665,172,17874,0.3,36.6
Sierra Leone,7760,126,4287,2.22,29.67
Singapore,2235294,1722,63357,0.1,39.57
Slovakia,2667551,21035,255300,1.05,21.3
